City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
140,Garissa,KE,-0.4536,39.6401,82.54,55,75,13.69,broken clouds,2021-03-28 22:50:14
141,Qaanaaq,GL,77.484,-69.3632,-20.13,77,66,6.02,broken clouds,2021-03-28 22:50:14
142,Hervey Bay,AU,-25.2986,152.8535,73.99,80,100,1.01,overcast clouds,2021-03-28 22:50:14
143,Butaritari,KI,3.0707,172.7902,81.5,76,84,14.16,light rain,2021-03-28 22:50:14
144,Saint Anthony,US,45.0205,-93.218,45.0,33,1,13.8,clear sky,2021-03-28 22:50:15
145,Freeport,US,40.6576,-73.5832,55.99,100,90,10.36,mist,2021-03-28 22:47:56
146,Bilibino,RU,68.0546,166.4372,-7.98,88,64,2.06,broken clouds,2021-03-28 22:50:15
147,Pitmoaga,BF,12.2397,-1.8767,79.56,13,0,9.82,clear sky,2021-03-28 22:50:15
148,Port Arthur,CN,38.8,121.2667,41.0,65,0,6.71,clear sky,2021-03-28 22:50:15
149,Ruza,RU,55.699,36.1952,33.8,69,0,4.47,light snow,2021-03-28 22:50:16
150,Thompson,CA,55.7435,-97.8558,28.4,46,90,4.61,snow,2021-03-28 22:50:16
151,Miri,MY,4.4148,114.0089,77.0,100,40,2.3,scattered clouds,2021-03-28 22:50:16
152,Namie,JP,37.4833,141.0,62.01,89,100,5.55,overcast clouds,2021-03-28 22:50:16
153,Buribay,RU,51.9617,58.1592,9.16,86,95,5.64,overcast clouds,2021-03-28 22:50:17
154,Avera,US,33.194,-82.5271,64.4,85,90,8.05,overcast clouds,2021-03-28 22:50:17
155,Lookan,PH,5.037,120.1027,81.01,82,100,8.68,overcast clouds,2021-03-28 22:50:17
156,Gimli,CA,50.6336,-96.9907,35.6,55,100,16.11,overcast clouds,2021-03-28 22:50:17
157,Hasaki,JP,35.7333,140.8333,61.0,94,75,3.44,broken clouds,2021-03-28 22:50:17
158,Baiyin,CN,36.5583,104.2081,48.0,27,46,4.47,dust,2021-03-28 22:50:18
159,Namibe,AO,-15.1961,12.1522,74.05,74,40,2.66,light rain,2021-03-28 22:46:00
160,Baruun-Urt,MN,46.6806,113.2792,25.68,51,4,5.88,clear sky,2021-03-28 22:50:18
161,Dunedin,NZ,-45.8742,170.5036,59.0,94,33,1.01,scattered clouds,2021-03-28 22:50:18
162,Lushoto,TZ,-4.7833,38.2833,60.53,91,81,1.97,light rain,2021-03-28 22:50:19
163,Bluff,NZ,-46.6,168.3333,60.01,96,85,11.01,overcast clouds,2021-03-28 22:50:19
164,Alberton,CA,46.8168,-64.0654,33.8,75,100,16.11,overcast clouds,2021-03-28 22:50:19
165,Sayyan,YE,15.1718,44.3244,52.81,41,6,2.1,clear sky,2021-03-28 22:50:19
166,Udachnyy,RU,66.4167,112.4,9.32,98,100,4.5,overcast clouds,2021-03-28 22:50:19
167,Maldonado,UY,-34.6667,-54.9167,70.0,88,20,3.44,few clouds,2021-03-28 22:50:20
168,Aykhal,RU,66.0,111.5,9.25,99,100,5.28,overcast clouds,2021-03-28 22:50:20
169,Killin,US,33.6123,-91.7412,66.2,24,1,6.91,clear sky,2021-03-28 22:50:20
170,Popondetta,PG,-8.7537,148.2534,85.77,60,92,0.63,overcast clouds,2021-03-28 22:50:20
171,Pangnirtung,CA,66.1451,-65.7125,0.37,96,100,2.21,overcast clouds,2021-03-28 22:50:21
172,Alamos,MX,27.0167,-108.9333,93.09,4,3,7.52,clear sky,2021-03-28 22:50:21
173,Nikolskoye,RU,59.7035,30.7861,39.99,87,0,2.24,light rain,2021-03-28 22:50:21
174,Touros,BR,-5.1989,-35.4608,80.6,83,20,5.75,few clouds,2021-03-28 22:50:21
175,Haines Junction,CA,60.7522,-137.5108,24.8,24,10,6.91,clear sky,2021-03-28 22:46:44
176,Wanlaweyn,SO,2.6185,44.8938,79.18,81,99,12.59,overcast clouds,2021-03-28 22:50:22
177,Kruisfontein,ZA,-34.0033,24.7314,63.0,75,92,4.0,overcast clouds,2021-03-28 22:50:22
178,Jalu,LY,29.0331,21.5482,58.71,35,29,7.87,scattered clouds,2021-03-28 22:50:22
179,Codrington,AU,-38.2667,141.9667,60.66,64,97,7.11,overcast clouds,2021-03-28 22:50:22
180,Sosnovo-Ozerskoye,RU,52.5249,111.5418,2.97,97,67,2.33,broken clouds,2021-03-28 22:50:23
181,Erdenet,MN,49.0333,104.0833,26.49,38,45,3.74,scattered clouds,2021-03-28 22:50:53
182,Beringovskiy,RU,63.05,179.3167,14.72,92,100,17.87,light snow,2021-03-28 22:50:53
183,Praia,CV,14.9215,-23.5087,68.0,77,75,24.16,broken clouds,2021-03-28 22:50:53
184,Provideniya,RU,64.3833,-173.3,15.12,88,100,21.7,light snow,2021-03-28 22:50:54
185,Inirida,CO,3.8653,-67.9239,72.64,97,100,2.13,overcast clouds,2021-03-28 22:50:54
186,Mount Gambier,AU,-37.8333,140.7667,59.0,94,90,2.8,overcast clouds,2021-03-28 22:50:54
187,Vinukonda,IN,16.05,79.75,74.03,83,6,1.72,clear sky,2021-03-28 22:50:54
188,Farafangana,MG,-22.8167,47.8333,75.29,84,1,3.24,clear sky,2021-03-28 22:50:55
189,Doha,QA,25.2867,51.5333,69.8,46,0,14.97,clear sky,2021-03-28 22:47:49
190,Sarkand,KZ,45.41,79.9186,40.17,84,99,2.21,overcast clouds,2021-03-28 22:50:55
191,The Valley,AI,18.217,-63.0578,80.6,78,40,13.8,scattered clouds,2021-03-28 22:50:55
192,Usinsk,RU,65.9939,57.5281,20.84,96,99,7.47,light snow,2021-03-28 22:50:55
193,Okhotsk,RU,59.3833,143.3,9.21,83,65,8.68,broken clouds,2021-03-28 22:50:56
194,Magdagachi,RU,53.45,125.8,30.38,89,100,5.61,overcast clouds,2021-03-28 22:50:56
195,Gamba,GA,-2.65,10.0,76.51,91,100,6.11,light rain,2021-03-28 22:50:56
196,Juneau,US,58.3019,-134.4197,36.0,38,20,9.22,few clouds,2021-03-28 22:50:41
197,Anadyr,RU,64.75,177.4833,12.2,79,40,29.08,snow,2021-03-28 22:50:56
198,Dingle,PH,10.9995,122.6711,78.17,85,100,6.38,overcast clouds,2021-03-28 22:50:57
199,Vardo,NO,70.3705,31.1107,35.6,69,40,6.91,scattered clouds,2021-03-28 22:50:57
200,Bambous Virieux,MU,-20.3428,57.7575,77.0,88,20,6.91,few clouds,2021-03-28 22:50:57
201,Hithadhoo,MV,-0.6,73.0833,78.66,87,100,33.6,moderate rain,2021-03-28 22:50:57
202,Fomboni,KM,-12.28,43.7425,83.53,72,66,8.46,broken clouds,2021-03-28 22:50:58
203,Paita,PE,-5.0892,-81.1144,73.26,73,78,13.49,broken clouds,2021-03-28 22:50:58
204,Ozernovskiy,RU,51.5,156.5167,26.78,71,72,6.15,broken clouds,2021-03-28 22:50:58
205,Kondinskoye,RU,59.6481,67.41,18.03,96,95,7.16,overcast clouds,2021-03-28 22:50:58
206,Bengkulu,ID,-3.8004,102.2655,76.42,89,99,0.87,overcast clouds,2021-03-28 22:49:16
207,Saskylakh,RU,71.9167,114.0833,-4.13,99,98,2.91,overcast clouds,2021-03-28 22:50:59
208,Moose Factory,CA,51.2585,-80.6094,23.0,68,75,20.71,broken clouds,2021-03-28 22:50:59
209,Half Moon Bay,US,37.4636,-122.4286,66.2,87,1,13.8,clear sky,2021-03-28 22:50:59
210,Lompoc,US,34.6391,-120.4579,70.0,67,1,16.11,clear sky,2021-03-28 22:51:00
211,Dali,CN,25.7,100.1833,47.7,41,10,5.59,clear sky,2021-03-28 22:51:00
212,Georgetown,MY,5.4112,100.3354,80.01,94,20,1.14,light rain,2021-03-28 22:49:22
213,Ahome,MX,25.9167,-109.1833,79.0,27,75,9.22,broken clouds,2021-03-28 22:49:47
214,Carutapera,BR,-1.195,-46.02,76.1,91,91,5.73,overcast clouds,2021-03-28 22:51:00
215,Sitka,US,57.0531,-135.33,39.2,60,20,18.41,few clouds,2021-03-28 22:48:06
216,Viedma,AR,-40.8135,-62.9967,65.32,29,96,2.8,overcast clouds,2021-03-28 22:50:24
217,Kandrian,PG,-6.2167,149.55,82.33,80,100,4.74,light rain,2021-03-28 22:51:00
218,Bonthe,SL,7.5264,-12.505,78.93,87,55,4.94,broken clouds,2021-03-28 22:51:01
219,Manaure,CO,11.7751,-72.4445,82.53,60,96,23.64,overcast clouds,2021-03-28 22:51:01
220,Kupang,ID,-10.1667,123.5833,75.2,100,90,5.75,overcast clouds,2021-03-28 22:51:01
221,Northport,US,33.229,-87.5772,64.4,42,1,9.22,clear sky,2021-03-28 22:51:01
222,Borogontsy,RU,62.6683,131.1683,14.18,93,97,2.21,overcast clouds,2021-03-28 22:51:02
223,Sur,OM,22.5667,59.5289,83.07,37,92,6.91,overcast clouds,2021-03-28 22:51:32
224,Port Hardy,CA,50.6996,-127.4199,41.0,81,75,16.11,light rain,2021-03-28 22:51:32
225,Bajil,YE,15.0584,43.2851,79.79,54,13,1.34,few clouds,2021-03-28 22:51:32
226,Mayo,US,38.8876,-76.5119,63.0,72,90,14.97,heavy intensity rain,2021-03-28 22:51:33
227,Mahebourg,MU,-20.4081,57.7,75.2,88,20,6.91,few clouds,2021-03-28 22:51:33
228,Severnoye,RU,56.3491,78.3619,26.78,97,100,3.4,light snow,2021-03-28 22:51:33
229,Manitouwadge,CA,49.1215,-85.8403,32.0,47,100,5.75,overcast clouds,2021-03-28 22:51:33
230,Ati,TD,13.2154,18.3353,78.15,12,48,18.43,scattered clouds,2021-03-28 22:51:34
231,Olinda,BR,-8.0089,-34.8553,78.8,78,75,5.75,broken clouds,2021-03-28 22:51:34
232,Farmington,US,36.7281,-108.2187,64.0,16,1,8.05,clear sky,2021-03-28 22:51:34
233,Dashitou,CN,43.3067,128.5114,35.42,67,14,14.41,few clouds,2021-03-28 22:51:34
234,Margate,GB,51.3813,1.3862,50.0,70,95,5.01,overcast clouds,2021-03-28 22:51:35
235,Warrnambool,AU,-38.3833,142.4833,57.99,91,64,6.62,broken clouds,2021-03-28 22:51:35
236,Saryozek,KZ,44.3583,77.9753,40.51,84,100,4.09,overcast clouds,2021-03-28 22:51:35
237,Ilo,PE,-17.6394,-71.3375,69.82,83,87,6.13,overcast clouds,2021-03-28 22:51:35
238,Kazachinskoye,RU,57.6953,93.2761,30.88,95,100,6.33,overcast clouds,2021-03-28 22:51:35
239,Ankazoabo,MG,-22.2833,44.5167,67.08,92,0,4.25,clear sky,2021-03-28 22:51:36
240,Raudeberg,NO,61.9875,5.1352,43.0,74,88,22.3,overcast clouds,2021-03-28 22:51:36
241,Faanui,PF,-16.4833,-151.75,82.4,73,50,20.83,light rain,2021-03-28 22:51:36
242,Muros,ES,42.7762,-9.0603,57.0,76,0,7.49,clear sky,2021-03-28 22:51:37
243,Buala,SB,-8.145,159.5921,84.27,72,18,8.03,light rain,2021-03-28 22:49:30
244,Leirvik,NO,59.7798,5.5005,44.6,87,90,18.41,overcast clouds,2021-03-28 22:51:37
245,Salamiyah,SY,35.0113,37.0532,44.35,71,3,3.33,clear sky,2021-03-28 22:51:37
246,Ixtapa,MX,20.7,-105.2,77.0,65,40,13.8,scattered clouds,2021-03-28 22:51:37
247,Sabang,ID,5.8933,95.3214,80.94,73,96,3.0,overcast clouds,2021-03-28 22:50:25
248,Ipixuna,BR,-1.7625,-48.8043,77.0,88,40,8.05,scattered clouds,2021-03-28 22:51:38
249,Kununurra,AU,-15.7667,128.7333,78.8,89,100,3.44,overcast clouds,2021-03-28 22:51:32
250,Yamada,JP,39.4667,141.95,53.33,98,100,8.34,overcast clouds,2021-03-28 22:51:38
251,Kalamare,BW,-22.9337,26.5703,63.39,73,0,17.69,clear sky,2021-03-28 22:51:38
252,Longyearbyen,SJ,78.2186,15.6401,28.4,80,20,11.5,few clouds,2021-03-28 22:51:38
253,San Pedro,PH,14.35,121.0167,82.0,78,20,3.44,few clouds,2021-03-28 22:49:36
254,Saldanha,ZA,-33.0117,17.9442,68.0,52,100,3.44,overcast clouds,2021-03-28 22:51:39
255,Yunyang,CN,33.4474,112.7142,57.25,89,20,6.67,few clouds,2021-03-28 22:51:39
256,Onega,RU,63.9061,38.1404,34.16,92,100,7.96,overcast clouds,2021-03-28 22:51:39
257,Olean,US,42.0776,-78.4297,46.4,70,90,10.36,overcast clouds,2021-03-28 22:47:22
258,Sola,VU,-13.8833,167.55,84.2,84,75,5.75,broken clouds,2021-03-28 22:51:39
259,Boa Vista,BR,2.8197,-60.6733,89.6,45,20,5.75,light rain,2021-03-28 22:51:40
260,Castro,BR,-24.7911,-50.0119,65.52,89,100,4.36,overcast clouds,2021-03-28 22:51:04
261,Bac Lieu,VN,9.285,105.7244,78.76,84,74,7.07,broken clouds,2021-03-28 22:51:40
